time,type,uav_id,details
2.0,target_discovery,1,"{""target_id"": 1, ""position"": [0.5, 2.5]}"
9.0,target_discovery,2,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
10.6,target_discovery,5,"{""target_id"": 2, ""position"": [7.5, 4.5]}"
10.7,outer_complete,5,"{""cells_covered"": 7}"
11.9,outer_complete,4,"{""cells_covered"": 9}"
12.8,target_discovery,1,"{""target_id"": 5, ""position"": [1.5, 11.5]}"
13.1,outer_complete,3,"{""cells_covered"": 11}"
14.4,outer_complete,2,"{""cells_covered"": 13}"
16.7,outer_complete,6,"{""cells_covered"": 12}"
19.7,outer_complete,7,"{""cells_covered"": 12}"
22.6,outer_complete,1,"{""cells_covered"": 21}"
23.7,target_discovery,0,"{""target_id"": 7, ""position"": [11.5, 11.5]}"
23.8,outer_complete,0,"{""cells_covered"": 23}"
